Critic Ratings for years 2000 to 2009 processed,,,,,
,,,,,
Film ID,Film Title,Year (NA),Metacritic,Rotten Tomatoes/4,VideoHound Score (0-4)
2701,AVPR: Aliens vs Predator - Requiem,2007,1.2,1.2,1.5
2702,Awake,2007,1.3,1.7,1.5
3108,Away We Go,2009,2.3,2.6,2
976,Babel,2006,2.8,2.7,3.5
16,Baby Boy,2001,2.2,2.5,2.5
2902,Baby Mama,2008,2.2,2.5,2.5
2903,Babylon A.D.,2008,1,1.3,1
389,Bad Boys II,2003,1.5,1.6,2
188,Bad Company,2002,1.5,1.6,2
915,Bad Education,2004,3.2,3,3
741,Bad News Bears,2005,2.6,2.3,2
390,Bad Santa,2003,2.8,2.7,2.5
2904,Baghead,2008,2.5,2.6,1
2433,Bait,2000,1.6,1.7,2
189,Ballistic: Ecks vs Sever,2002,0.8,1,1.5
2703,Balls of Fury,2007,1.5,1.7,2.5
17,Bandits,2001,2.4,2.4,2.5
3110,Bandslam,2009,2.6,2.6,2.5
2905,Bangkok Dangerous,2008,1,1.4,1.5
190,Barbershop,2002,2.6,2.6,3
571,Barbershop 2: Back in Business,2004,2.4,2.5,3
977,Barnyard,2006,1.7,1.8,2
391,Basic,2003,1.4,1.8,2
978,Basic Instinct 2,2006,1,1.2,1
742,Batman Begins,2005,2.8,3.1,3
3111,Battle for Terra,2009,2.2,2.2,3
2906,Battle in Seattle,2008,2.2,2.2,2
2434,Battlefield Earth: A Saga of the Year 3000,2000,0.4,0.9,0
743,Be Cool,2005,1.5,1.8,1
18,Beautiful Creatures,2001,1.6,1.9,2
744,Beauty Shop,2005,2.1,2.1,3
2704,Because I Said So,2007,1,1.3,2
745,Because of Winn-Dixie,2005,2.2,2.3,2.5
2705,Becoming Jane,2007,2.2,2.4,2.5
2435,Bedazzled,2000,2,2.2,2.5
2907,Bedtime Stories,2008,1.3,1.8,2.5
2706,Bee Movie,2007,2.2,2.3,2
746,Bee Season,2005,2.2,2.2,3
979,Beerfest,2006,1.8,2,2
955,Before Sunset,2004,3.6,3.3,3.5
2707,Before the Devil Knows You're Dead,2007,3.4,3.1,3
19,Behind Enemy Lines,2001,2,1.9,2
572,Being Julia,2004,2.6,2.7,3
2662,Bella,2007,1.9,2.2,2
191,Below,2002,2.2,2.5,2.5
392,Bend it Like Beckham,2003,2.6,2.9,3
573,Benji: Off the Leash!,2004,2,1.9,2.5
2708,Beowulf,2007,2.4,2.6,3
2436,Best in Show,2000,3.1,3,3
2597,Better Luck Tomorrow,2003,2.7,2.8,3
2908,Beverly Hills Chihuahua,2008,1.6,2,2
747,Bewitched,2005,1.4,1.8,2
393,Beyond Borders,2003,1.3,1.7,1.5
574,Beyond the Sea,2004,1.8,2.1,2
2899,Big Fat Important Movie,2008,0.8,1.2,0
192,Big Fat Liar,2002,1.4,2,2
394,Big Fish,2003,2.3,2.9,3
2437,Big Momma's House,2000,1.3,1.8,2
980,Big Momma's House 2,2006,1.4,1.2,2
193,Big Trouble,2002,1.9,2.2,2
395,Biker Boyz,2003,1.4,1.7,2.5
2438,Billy Elliot,2000,3,2.9,3
575,Birth,2004,2,2.1,2
194,Birthday Girl,2002,2,2.3,2
2261,Black and White,2000,1.9,1.9,3
981,Black Christmas,2006,0.9,1.3,1
20,Black Hawk Down,2001,3,2.8,3.5
21,Black Knight,2001,1.3,1.4,1
2709,Black Snake Moan,2007,2.1,2.5,2
195,Blade II,2002,2.1,2.4,2
576,Blade: Trinity,2004,1.5,1.8,2
2710,Blades of Glory,2007,2.6,2.5,2.5
2439,Bless the Child,2000,0.7,1.2,1
2909,Blindness,2008,1.8,2.1,1.5
2711,Blood and Chocolate,2007,1.3,1.4,1.5
982,Blood Diamond,2006,2.6,2.5,2.5
196,Blood Work,2002,2.6,2.2,2.5
983,Bloodrayne,2006,0.7,0.9,0
197,Bloody Sunday,2002,3.6,3.2,3
22,Blow,2001,2.1,2.3,2.5
23,Blow Dry,2001,1.5,1.6,2
198,Blue Crush,2002,2.4,2.3,3
396,Boat Trip,2003,0.7,1,0
984,Bobby,2006,2.2,2.2,2.5
2612,Bobby Jones: Stroke of Genius,2004,1.8,1.8,2.5
2910,Body of Lies,2008,2.3,2.3,2.5
2440,Boiler Room,2000,2.5,2.6,3
2911,Bolt,2008,2.7,2.9,3.5
24,Bones,2001,1.7,1.5,2.5
748,Boogeyman,2005,1.3,1.4,1.5
2441,Book of Shadows: Blair Witch 2,2000,0.6,1.4,1.5
985,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,3.6,3.2,3
2442,Bounce,2000,2.1,2.2,2.5
918,Bowling for Columbine,2002,2.9,3.3,3
2443,Boys and Girls,2000,1.2,1.5,2
2713,Bratz,2007,0.8,1.2,0
2714,Breach,2007,3,2.8,2.5
577,Breakin' All the Rules,2004,1.8,1.9,2.5
2663,Breaking and Entering,2006,2.2,2.1,2
987,Brick,2006,2.9,2.8,3
750,Bride & Prejudice,2005,2.2,2.4,2
25,Bride of the Wind,2001,1.4,1.5,1.5
2912,Bride Wars,2008,1,1.4,1.5
2913,Brideshead Revisited,2008,2.6,2.4,2.5
2715,Bridge to Terabithia,2007,3,2.8,2.5
26,Bridget Jones's Diary,2001,2.6,2.7,3
578,Bridget Jones: The Edge of Reason,2004,1.8,1.9,2.5
3112,Bright Star,2009,3.2,2.9,2.5
2444,Bring It On,2000,2.1,2.4,2.5
397,Bringing Down the House,2003,1.6,1.9,2
751,Brokeback Mountain,2005,3.5,3.3,3.5
3113,Broken Embraces,2009,3,2.8,3
752,Broken Flowers,2005,3.2,3,2
27,Brother,2001,1.9,2,3
398,Brother Bear,2003,1.9,2.2,2.5
199,Brotherhood of the Wolf,2002,2.3,2.5,2
3114,Brothers,2009,2.3,2.4,2
200,Brown Sugar,2002,2.3,2.5,2.5
399,Bruce Almighty,2003,1.8,2.2,2.5
400,Bubba Ho-tep,2003,2.3,2.7,3
28,Bubble Boy,2001,1.6,1.5,1
401,Buffalo Soldiers,2003,2.2,2.6,2.5
2716,Bug,2007,2.5,2.5,2
402,Bulletproof Monk,2003,1.6,1.7,2.5
2914,Burn After Reading,2008,2.5,2.7,2.5
403,Cabin Fever,2003,2.2,2.4,2
2635,Cach_,2005,3.3,3.1,3.5
2915,Cadillac Records,2008,2.6,2.4,3
404,Calendar Girls,2003,2.4,2.6,2.5
2598,Camp,2003,2.2,2.4,2.5
3116,Capitalism: A Love Story,2009,2.4,2.7,2.5
753,Capote,2005,3.5,3.3,3
29,Captain Corelli's Mandolin,2001,1.4,1.8,2
988,Cars,2006,2.9,2.8,3
754,Casanova,2005,2.3,2.2,1
989,Casino Royale,2006,3.2,3.1,3
2445,Cast Away,2000,2.9,3,3.5
990,Catch a Fire,2006,2.5,2.7,2.5
2717,Catch and Release,2007,1.7,1.8,2
201,Catch Me if You Can,2002,3,3.2,2.5
579,Catch that Kid,2004,1.3,1.5,2
30,Cats & Dogs,2001,1.9,2.2,2
580,Catwoman,2004,1.1,1.2,1
581,Cellular,2004,2.4,2.3,2.5
2446,Center Stage,2000,2.1,2,2
2916,Changeling,2008,2.5,2.5,3.5
202,Changing Lanes,2002,2.8,2.8,3
755,Charlie and the Chocolate Factory,2005,2.9,2.9,3
2917,Charlie Bartlett,2008,2.2,2.3,3
2718,Charlie Wilson's War,2007,2.8,2.8,2
2447,Charlie's Angels,2000,2.1,2.5,2.5
405,Charlie's Angels: Full Throttle,2003,1.9,2,2
31,Charlotte Gray,2001,1.9,1.9,2
991,Charlotte's Web,2006,2.7,2.8,3
582,Chasing Liberty,2004,1.8,1.8,2.5
406,Chasing Papi,2003,1.3,1.5,2
2918,Che: Part One,2008,2.6,2.5,2
3117,Che: Part Two,2009,2.6,2.6,2
407,Cheaper by the Dozen,2003,1.8,1.8,2.5
756,Cheaper by the Dozen 2,2005,1.4,1.4,2
3118,Ch_ri,2009,2.5,2.3,2
203,Cherish,2002,2,2.3,2
204,Chicago,2002,3.3,3.1,3.5
757,Chicken Little,2005,1.9,2.2,2.5
2448,Chicken Run,2000,3.5,3.2,3.5
992,Children of Men,2006,3.4,3.2,3
2449,Chocolat,2000,2.6,2.4,3
2919,Choke,2008,1.9,2.2,2.5
2636,Christmas in the Clouds,2005,2.2,2.4,2.5
583,Christmas with the Kranks,2004,0.9,1.1,1
758,Cinderella Man,2005,2.8,3,3.5
3119,Cirque du Freak: The Vampire's Assistant,2009,1.7,2,1.5
205,City by the Sea,2002,2,2.3,2.5
2920,City of Ember,2008,2.3,2.3,2.5
408,City of Ghosts,2003,2.3,2.2,2.5
206,City of God,2002,3.2,3.3,2.5
2921,City of Men,2008,2.5,2.7,3.5
993,Clerks II,2006,2.6,2.4,3
994,Click,2006,1.8,1.9,2
584,Clifford's Really Big Movie,2004,2,2.2,2.5
207,Clockstoppers,2002,1.6,1.9,2.5
585,Closer,2004,2.6,2.6,3
3121,Cloudy with a Chance of Meatballs,2009,2.6,2.9,2.5
2923,Cloverfield,2008,2.6,2.7,2.5
586,Club Dread,2004,1.8,1.8,1
759,Coach Carter,2005,2.3,2.4,3
3122,Coco Before Chanel,2009,2.6,2.4,2
587,Code 46,2004,2.3,2.4,2.5
995,Code Name: The Cleaner,2006,1.3,1.2,1.5
588,Coffee and Cigarettes,2004,2.6,2.5,3
409,Cold Creek Manor,2003,1.5,1.5,2.5
410,Cold Mountain,2003,2.9,2.7,3.5
589,Collateral,2004,2.8,3,3
208,Collateral Damage,2002,1.3,1.6,2
2924,College Road Trip,2008,1.4,1.3,1
32,Company Man,2001,0.7,1.4,2
209,Confessions of a Dangerous Mind,2002,2.7,2.9,2.5
3123,Confessions of a Shopaholic,2009,1.5,1.7,2
590,Confessions of a Teenage Drama Queen,2004,1.3,1.6,2
2664,Confetti,2006,2.3,2.3,2
411,Confidence,2003,2.4,2.5,2.5
591,Connie and Carla,2004,1.8,2,1.5
760,Constantine,2005,2,2.2,2.5
2720,Control,2007,3.1,3,2
3124,Coraline,2009,3.2,3.1,3
33,Corky Romano,2001,0.8,1.1,1
761,Corpse Bride,2005,3.3,2.9,3
2271,Cotton Mary,2000,2.1,2,2
3125,Couples Retreat,2009,0.9,1.4,1.5
2450,Coyote Ugly,2000,1.1,1.6,1.5
412,Cradle 2 the Grave,2003,1.4,1.8,1.5
997,Crank,2006,2.3,2.4,2.5
3126,Crank: High Voltage,2009,1.6,2.3,1
762,Crash,2005,2.8,2.8,3.5
3127,Crazy Heart,2009,3.3,3,2.5
34,Crazy/Beautiful,2001,2.4,2.3,2.5
2613,Criminal,2004,2.4,2.6,2.5
35,Crocodile Dundee in Los Angeles,2001,1.5,1.4,1.5
3128,Crossing Over,2009,1.5,1.6,1.5
998,Crossover,2006,1.2,1.3,1
210,Crossroads,2002,1.1,1.6,1.5
2451,Crouching Tiger Hidden Dragon,2000,3.7,3.4,3.5
211,Crush,2002,1.5,0,2
999,Curious George,2006,2.5,2.4,2.5
1000,Curse of the Golden Flower,2006,2.8,2.6,2
764,Cursed,2005,1.2,1.4,1.5
2729,D-War,2007,1.3,1.4,1.5
765,D.E.B.S.,2005,1.7,1.9,1.5
2721,Daddy Day Camp,2007,0.5,0.9,1
413,Daddy Day Care,2003,1.6,1.8,1
2879,Daddy's Little Girls,2007,2,1.9,2.5
2722,Dan In Real Life,2007,2.6,2.4,2.5
3129,Dance Flick,2009,1.6,1.4,1.5
592,Danny Deckchair,2004,2.2,2.3,2
414,Daredevil,2003,1.7,2.1,2
415,Dark Blue,2003,2.3,2.3,3
766,Dark Water,2005,2.1,2.2,2
593,Darkness,2004,0.6,1.1,1
416,Darkness Falls,2003,0.9,1.3,2.5
1001,Date Movie,2006,0.4,1,1.5
1002,Dave Chappelle's Block Party,2006,3.4,3.1,3
594,Dawn of the Dead,2004,2.3,2.7,3
3130,Daybreakers,2009,2.3,2.4,2
595,De-Lovely,2004,2.1,2.3,2
767,Dear Frankie,2005,2.5,2.7,2
2723,Death at a Funeral,2007,2.7,2.3,2
2925,Death Race,2008,1.7,1.9,1.5
2926,Deception,2008,1.2,1.6,1.5
1004,Deck the Halls,2006,1.1,1.2,1.5
937,Deep Blue,2005,2.8,2.6,3.5
2927,Defiance,2008,2.3,2.4,2.5
2928,Definitely Maybe,2008,2.4,2.6,3
1005,Deja Vu,2006,2.4,2.4,2.5
417,Deliver Us from Eva,2003,1.8,2.2,2.5
2725,Delta Farce,2007,0.7,1,1
768,Derailed,2005,1.6,1.8,1.5
140,Desert Vampires,2001,1.4,1.3,1
769,Deuce Bigalow: European Gigolo,2005,0.9,1.1,0
213,Deuces Wild,2002,0.6,1.2,1.5
770,Diary of a Mad Black Woman,2005,1.4,1.6,2
418,Dickie Roberts: Former Child Star,2003,1.4,1.8,2
3131,Did You Hear About the Morgans?,2009,1.1,1.4,1
214,Die Another Day,2002,2.2,2.4,2.5
2726,Diggers,2007,2.6,2.6,2.5
2453,Dinosaur,2000,2.2,2.5,2.5
596,Dirty Dancing: Havana Nights,2004,1.6,1.7,2
2638,Dirty Deeds,2005,1.1,1.1,3
2639,Dirty Love,2005,0.4,0.9,0
419,Dirty Pretty Things,2003,3.1,3.1,3.5
2929,Disaster Movie,2008,0.6,0.7,0
3132,District 9,2009,3.2,3.1,3
1006,District B13,2006,2.8,2.8,2
2727,Disturbia,2007,2.5,2.5,2.5
215,Divine Secrets of the Ya-Ya Sisterhood,2002,1.9,2.1,2
2728,DOA: Dead or Alive,2007,1.5,1.8,2
597,Dodgeball: A True Underdog Story,2004,2.2,2.5,2
2614,Dogville,2004,2.4,2.8,2.5
36,Domestic Disturbance,2001,1.2,1.6,2
771,Domino,2005,1.4,1.6,2.5
37,Don't Say a Word,2001,1.5,1.8,2.5
1007,Doogal,2006,0.9,1.2,1
772,Doom,2005,1.4,1.6,2
2930,Doomsday,2008,2,2,2
38,Double Take,2001,1,1.4,1
39,Down to Earth,2001,1.3,1.6,2
2454,Down to You,2000,0.5,1.3,2.5
420,Down With Love,2003,2.1,2.4,2.5
40,Dr. Dolittle 2,2001,2,2,2
507,Dr. Seuss' The Cat in the Hat,2003,0.8,1.3,1.5
2455,Dracula 2000,2000,1,1.4,1
3133,Drag Me to Hell,2009,3.3,3,2
3134,Dragonball Evolution,2009,1.8,1.4,1
216,Dragonfly,2002,1,1.4,1.5
421,Dreamcatcher,2003,1.4,1.9,1.5
773,Dreamer: Inspired by a True Story,2005,2.4,2.5,2.5
1008,Dreamgirls,2006,3,2.9,3
2932,Drillbit Taylor,2008,1.6,1.8,2
41,Driven,2001,1.2,1.4,2
2456,Drowning Mona,2000,1,1.8,2
217,Drumline,2002,2.5,2.7,3
2457,Dude Where's My Car?,2000,1.2,1.4,2
2458,Duets,2000,1.6,1.6,2
2640,Duma,2005,3.3,3,3
422,Dumb and Dumberer: When Harry Met Lloyd,2003,0.8,1.1,1
2459,Dungeons & Dragons,2000,0.6,1.2,1.5
423,Duplex,2003,2,2,2
3135,Duplicity,2009,2.8,2.5,2.5
938,Dust to Glory,2005,2.4,2.5,3
2933,Eagle Eye,2008,1.7,1.8,2
2730,Eagle vs Shark,2007,2.2,2.2,1.5
3136,Earth,2009,2.9,2.9,2.5
2285,East is East,2000,3,2.8,3
2731,Eastern Promises,2007,3.3,3,3.5
3137,Easy Virtue,2009,2.3,2.3,2.5
1009,Eight Below,2006,2.6,2.6,2.5
218,Eight Crazy Nights,2002,0.9,1.2,2
219,Eight Legged Freaks,2002,2.1,2.2,2.5
2732,El Cantante,2007,1.8,1.9,2
774,Elektra,2005,1.4,1.5,1
424,Elephant,2003,2.8,2.8,3
425,Elf,2003,2.6,2.8,3
2733,Elizabeth: The Golden Age,2007,1.8,2,2.5
775,Elizabethtown,2005,1.8,1.8,2
598,Ella Enchanted,2004,2.1,2.2,3
220,Empire,2002,1.5,1.8,2.5
1010,Employee of the Month,2006,1.4,1.6,1.5
2734,Enchanted,2007,3,2.9,2
1011,End of the Spear,2006,1.8,2,2
42,Enemy at the Gates,2001,2.1,2.3,2
221,Enigma,2002,2.6,2.6,2.5
222,Enough,2002,1,1.6,2
2641,Enron: The Smartest Guys in the Room,2005,3.3,3.2,3.5
599,Envy,2004,1.2,1.2,2.5
2735,Epic Movie,2007,0.7,0.9,0
223,Equilibrium,2002,1.3,1.9,0
1012,Eragon,2006,1.5,1.6,2
2460,Erin Brockovich,2000,2.9,2.9,3
600,Eternal Sunshine of the Spotless Mind,2004,3.6,3.4,3.5
601,EuroTrip,2004,1.8,2,2
2736,Evan Almighty,2007,1.5,1.8,1
224,Evelyn,2002,2.2,2.4,3
2737,Evening,2007,1.8,2,1.5
3138,Everybody's Fine,2009,1.9,2.1,1.5
1013,Everyone's Hero,2006,2,2,2
2642,Everything is Illuminated,2005,2.3,2.6,3
43,Evolution,2001,1.6,2,1.5
44,Exit Wounds,2001,1.6,1.8,2
602,Exorcist: The Beginning,2004,1.2,1.4,1.5
3139,Extract,2009,2.4,2.4,2
225,Extreme Ops,2002,0.7,1.2,1.5
2292,Eye of the Beholder,2000,1.2,1.4,1
2738,Eye of the Dolphin,2007,2.2,2,2.5
2615,Fade to Black,2004,2.4,2.5,3
931,Fahrenheit 9/11,2004,2.7,2.9,3
1015,Failure to Launch,2006,1.9,1.8,2
3141,Fame,2009,1.6,1.8,1.5
2739,Fantastic 4: Rise of the Silver Surfer,2007,1.8,1.9,1.5
776,Fantastic Four,2005,1.6,1.8,1
3142,Fantastic Mr. Fox,2009,3.3,3.2,3
226,Far From Heaven,2002,3.4,3.2,3.5
3143,Fast & Furious,2009,1.8,1.8,2
2665,Fast Food Nation,2006,2.6,2.3,3
2847,Fast Track,2007,1.3,1.8,2
603,Fat Albert,2004,1.6,1.8,1.5
2643,Fateless,2005,3.5,3.2,3.5
227,FeardotCom,2002,0.6,1,1
1045,Fearless,2006,2.8,2.7,2
2666,Feast,2006,1.7,2.3,1.5
2740,Feast of Love,2007,2,2.1,1.5
2741,Feel the Noise,2007,1.4,1.4,1.5
228,Femme Fatale,2002,2.4,2.2,2.5
777,Fever Pitch,2005,2.2,2.5,2.5
3144,Fighting,2009,2.4,2,2.5
2461,Final Destination,2000,1.4,1.9,2
426,Final Destination 2,2003,1.5,2,2
1016,Final Destination 3,2006,1.6,2,2
45,Final Fantasy: The Spirits Within,2001,2,2.1,2.5
1017,Find Me Guilty,2006,2.6,2.4,3
2462,Finding Forrester,2000,2.5,2.6,2
427,Finding Nemo,2003,3.6,3.4,4
604,Finding Neverland,2004,2.7,3,3
3145,Fired Up!,2009,1.2,1.5,1.5
2742,Firehouse Dog,2007,1.7,2,2
2935,Fireproof,2008,1.1,1.8,2
1018,Firewall,2006,1.8,1.8,2
605,First Daughter,2004,1.2,1.5,1.5
939,First Descent,2005,2,2.2,2
2743,First Snow,2007,2.3,2.4,2
2936,First Sunday,2008,1.6,1.5,1
1019,Flags of Our Fathers,2006,3.2,2.8,3.5
2937,Flash of Genius,2008,2.3,2.4,2.5
1020,Flicka,2006,2.3,2.3,2.5
606,Flight of the Phoenix,2004,1.9,1.9,2.5
778,Flightplan,2005,2.1,2.1,2.5
1021,Flushed Away,2006,3,2.7,3
2938,Fly Me to the Moon,2008,1.4,1.6,1.5
1022,Flyboys,2006,1.9,2,2.5
2574,Focus,2001,2.1,2.2,2.5
2939,Fool's Gold,2008,1.2,1.4,1.5
1023,For Your Consideration,2006,2.7,2.3,2.5
2941,Forgetting Sarah Marshall,2008,2.7,2.8,2
229,Formula 51,2002,0.9,1.7,1
779,Four Brothers,2005,2,2.3,1.5
2942,Four Christmases,2008,1.6,1.7,2
2744,Fracture,2007,2.7,2.6,2.5
230,Frailty,2002,2.6,2.7,3
428,Freaky Friday,2003,2.8,2.8,3
2745,Fred Claus,2007,1.7,1.7,1
46,Freddy Got Fingered,2001,0.5,1.1,0
429,Freddy vs. Jason,2003,1.5,2,2.5
1024,Freedom Writers,2007,2.6,2.5,2.5
1025,Freedomland,2006,1.7,1.8,2.5
2463,Frequency,2000,2.7,2.6,2.5
231,Frida,2002,2.4,2.8,2.5
232,Friday After Next,2002,1.4,1.6,1.5
607,Friday Night Lights,2004,2.8,2.9,3
3146,Friday the 13th,2009,1.4,1.7,1
1026,Friends with Money,2006,2.7,2.6,2.5
47,From Hell,2001,2.2,2.3,3
430,From Justin to Kelly,2003,0.6,1.1,0
2943,Frost/Nixon,2008,3.2,3.2,3.5
2944,Frozen River,2008,3.3,2.9,4
233,Full Frontal,2002,1.8,2.1,1.5
2746,Full of It,2007,1.3,1.2,1.5
780,Fun with Dick and Jane,2005,1.9,2,2
2747,Funny Games,2008,1.6,2.2,3
3147,Funny People,2009,2.4,2.6,2
3148,G-Force,2009,1.6,1.8,2.5
3149,G.I. Joe: The Rise of Cobra,2009,1.3,1.8,2
2466,G2K: Godzilla 2000,2000,1.6,2.3,3
3150,Gamer,2009,1.1,1.7,2
234,Gangs of New York,2002,2.9,2.8,3
608,Garden State,2004,2.7,3,3
609,Garfield,2004,1.1,1.4,1.5
1027,Garfield: A Tail of Two Kitties,2006,1.5,1.4,2.5
2748,Georgia Rule,2007,1,1.5,1.5
946,Get Over It,2001,2.1,2,1.5
781,Get Rich or Die Tryin',2005,1.8,1.8,1.5
2945,Get Smart,2008,2.2,2.2,2.5
2749,Ghost Rider,2007,1.4,1.7,1.5
235,Ghost Ship,2002,1.1,1.5,1
